"order_number";"product_key";"customer_key";"order_date";"shipping_date";"due_date";"sales_amount";"quantity";"price"
"SO54496";282;5400;"2013-03-16";"2013-03-23";"2013-03-28";25;1;25
"SO54496";289;5400;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54496";259;5400;"2013-03-16";"2013-03-23";"2013-03-28";2;1;2
"SO54497";174;9281;"2013-03-16";"2013-03-23";"2013-03-28";22;1;22
"SO54497";280;9281;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54498";174;4825;"2013-03-16";"2013-03-23";"2013-03-28";22;1;22
"SO54498";277;4825;"2013-03-16";"2013-03-23";"2013-03-28";54;1;54
"SO54499";289;4286;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54499";246;4286;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54500";289;1472;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54500";284;1472;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54500";244;1472;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54500";166;1472;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54501";290;2777;"2013-03-16";"2013-03-23";"2013-03-28";4;1;4
"SO54501";287;2777;"2013-03-16";"2013-03-23";"2013-03-28";33;1;33
"SO54502";286;5302;"2013-03-16";"2013-03-23";"2013-03-28";25;1;25
"SO54502";290;5302;"2013-03-16";"2013-03-23";"2013-03-28";4;1;4
"SO54502";166;5302;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54502";245;5302;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54503";290;582;"2013-03-16";"2013-03-23";"2013-03-28";4;1;4
"SO54503";259;582;"2013-03-16";"2013-03-23";"2013-03-28";2;1;2
"SO54504";290;9149;"2013-03-16";"2013-03-23";"2013-03-28";4;1;4
"SO54504";259;9149;"2013-03-16";"2013-03-23";"2013-03-28";2;1;2
"SO54505";283;3822;"2013-03-16";"2013-03-23";"2013-03-28";30;1;30
"SO54506";290;14527;"2013-03-16";"2013-03-23";"2013-03-28";4;1;4
"SO54506";285;14527;"2013-03-16";"2013-03-23";"2013-03-28";21;1;21
"SO54506";246;14527;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54507";285;16815;"2013-03-16";"2013-03-23";"2013-03-28";21;1;21
"SO54507";259;16815;"2013-03-16";"2013-03-23";"2013-03-28";2;1;2
"SO54507";281;16815;"2013-03-16";"2013-03-23";"2013-03-28";159;1;159
"SO54508";284;13;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54508";289;13;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54508";244;13;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54509";284;732;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54509";289;732;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54509";174;732;"2013-03-16";"2013-03-23";"2013-03-28";22;1;22
"SO54509";234;732;"2013-03-16";"2013-03-23";"2013-03-28";24;1;24
"SO54510";284;3354;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54510";289;3354;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54510";246;3354;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54511";105;348;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54511";295;348;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54512";136;5897;"2013-03-16";"2013-03-23";"2013-03-28";1701;1;1701
"SO54512";295;5897;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54512";105;5897;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54513";136;3084;"2013-03-16";"2013-03-23";"2013-03-28";1701;1;1701
"SO54513";251;3084;"2013-03-16";"2013-03-23";"2013-03-28";50;1;50
"SO54514";117;3104;"2013-03-16";"2013-03-23";"2013-03-28";769;1;769
"SO54514";104;3104;"2013-03-16";"2013-03-23";"2013-03-28";10;1;10
"SO54514";295;3104;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54515";126;9425;"2013-03-16";"2013-03-23";"2013-03-28";540;1;540
"SO54515";295;9425;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54515";105;9425;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54516";127;9817;"2013-03-16";"2013-03-23";"2013-03-28";540;1;540
"SO54516";285;9817;"2013-03-16";"2013-03-23";"2013-03-28";21;1;21
"SO54516";290;9817;"2013-03-16";"2013-03-23";"2013-03-28";4;1;4
"SO54516";245;9817;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54516";250;9817;"2013-03-16";"2013-03-23";"2013-03-28";50;1;50
"SO54517";166;17829;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54517";150;17829;"2013-03-16";"2013-03-23";"2013-03-28";742;1;742
"SO54518";144;15330;"2013-03-16";"2013-03-23";"2013-03-28";742;1;742
"SO54518";105;15330;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54518";295;15330;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54518";247;15330;"2013-03-16";"2013-03-23";"2013-03-28";55;1;55
"SO54519";121;98;"2013-03-16";"2013-03-23";"2013-03-28";2295;1;2295
"SO54519";104;98;"2013-03-16";"2013-03-23";"2013-03-28";10;1;10
"SO54520";155;14367;"2013-03-16";"2013-03-23";"2013-03-28";1215;1;1215
"SO54520";288;14367;"2013-03-16";"2013-03-23";"2013-03-28";29;1;29
"SO54521";126;10655;"2013-03-16";"2013-03-23";"2013-03-28";540;1;540
"SO54521";105;10655;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54521";295;10655;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54521";250;10655;"2013-03-16";"2013-03-23";"2013-03-28";50;1;50
"SO54522";128;18401;"2013-03-16";"2013-03-23";"2013-03-28";540;1;540
"SO54522";295;18401;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54522";105;18401;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54522";294;18401;"2013-03-16";"2013-03-23";"2013-03-28";64;1;64
"SO54523";134;16144;"2013-03-16";"2013-03-23";"2013-03-28";1120;1;1120
"SO54523";105;16144;"2013-03-16";"2013-03-23";"2013-03-28";9;1;9
"SO54523";295;16144;"2013-03-16";"2013-03-23";"2013-03-28";5;1;5
"SO54523";246;16144;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54524";165;1631;"2013-03-16";"2013-03-23";"2013-03-28";2384;1;2384
"SO54524";246;1631;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54525";158;13106;"2013-03-16";"2013-03-23";"2013-03-28";2384;1;2384
"SO54525";245;13106;"2013-03-16";"2013-03-23";"2013-03-28";35;1;35
"SO54526";116;51;"2013-03-16";"2013-03-23";"2013-03-28";769;1;769
"SO54526";174;51;"2013-03-16";"2013-03-23";"2013-03-28";22;1;22
"SO54526";292;51;"2013-03-16";"2013-03-23";"2013-03-28";64;1;64
"SO54527";134;12415;"2013-03-17";"2013-03-24";"2013-03-29";1120;1;1120
"SO54527";246;12415;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54527";276;12415;"2013-03-17";"2013-03-24";"2013-03-29";54;1;54
"SO54528";123;1134;"2013-03-17";"2013-03-24";"2013-03-29";2320;1;2320
"SO54528";174;1134;"2013-03-17";"2013-03-24";"2013-03-29";22;1;22
"SO54528";104;1134;"2013-03-17";"2013-03-24";"2013-03-29";10;1;10
"SO54528";295;1134;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54528";246;1134;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54528";250;1134;"2013-03-17";"2013-03-24";"2013-03-29";50;1;50
"SO54529";282;3100;"2013-03-17";"2013-03-24";"2013-03-29";25;1;25
"SO54529";259;3100;"2013-03-17";"2013-03-24";"2013-03-29";2;1;2
"SO54530";166;2182;"2013-03-17";"2013-03-24";"2013-03-29";9;1;9
"SO54530";260;2182;"2013-03-17";"2013-03-24";"2013-03-29";120;1;120
"SO54531";272;15774;"2013-03-17";"2013-03-24";"2013-03-29";70;1;70
"SO54532";290;2642;"2013-03-17";"2013-03-24";"2013-03-29";4;1;4
"SO54532";246;2642;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54532";277;2642;"2013-03-17";"2013-03-24";"2013-03-29";54;1;54
"SO54532";233;2642;"2013-03-17";"2013-03-24";"2013-03-29";24;1;24
"SO54533";249;3060;"2013-03-17";"2013-03-24";"2013-03-29";50;1;50
"SO54533";233;3060;"2013-03-17";"2013-03-24";"2013-03-29";24;1;24
"SO54534";290;2628;"2013-03-17";"2013-03-24";"2013-03-29";4;1;4
"SO54534";278;2628;"2013-03-17";"2013-03-24";"2013-03-29";54;1;54
"SO54534";166;2628;"2013-03-17";"2013-03-24";"2013-03-29";9;1;9
"SO54535";139;12777;"2013-03-17";"2013-03-24";"2013-03-29";2443;1;2443
"SO54535";246;12777;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54536";117;17905;"2013-03-17";"2013-03-24";"2013-03-29";769;1;769
"SO54536";283;17905;"2013-03-17";"2013-03-24";"2013-03-29";30;1;30
"SO54537";290;181;"2013-03-17";"2013-03-24";"2013-03-29";4;1;4
"SO54537";244;181;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54538";291;16632;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54538";288;16632;"2013-03-17";"2013-03-24";"2013-03-29";29;1;29
"SO54539";285;16741;"2013-03-17";"2013-03-24";"2013-03-29";21;1;21
"SO54539";290;16741;"2013-03-17";"2013-03-24";"2013-03-29";4;1;4
"SO54540";285;16026;"2013-03-17";"2013-03-24";"2013-03-29";21;1;21
"SO54540";259;16026;"2013-03-17";"2013-03-24";"2013-03-29";2;1;2
"SO54541";288;15176;"2013-03-17";"2013-03-24";"2013-03-29";29;1;29
"SO54541";291;15176;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54541";247;15176;"2013-03-17";"2013-03-24";"2013-03-29";55;1;55
"SO54542";290;17683;"2013-03-17";"2013-03-24";"2013-03-29";4;1;4
"SO54542";286;17683;"2013-03-17";"2013-03-24";"2013-03-29";25;1;25
"SO54542";244;17683;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54543";287;14153;"2013-03-17";"2013-03-24";"2013-03-29";33;1;33
"SO54543";259;14153;"2013-03-17";"2013-03-24";"2013-03-29";2;1;2
"SO54544";287;13451;"2013-03-17";"2013-03-24";"2013-03-29";33;1;33
"SO54544";244;13451;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54545";235;13315;"2013-03-17";"2013-03-24";"2013-03-29";24;1;24
"SO54545";287;13315;"2013-03-17";"2013-03-24";"2013-03-29";33;1;33
"SO54546";283;12133;"2013-03-17";"2013-03-24";"2013-03-29";30;1;30
"SO54546";259;12133;"2013-03-17";"2013-03-24";"2013-03-29";2;1;2
"SO54546";168;12133;"2013-03-17";"2013-03-24";"2013-03-29";8;1;8
"SO54546";260;12133;"2013-03-17";"2013-03-24";"2013-03-29";120;1;120
"SO54547";289;12895;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54547";283;12895;"2013-03-17";"2013-03-24";"2013-03-29";30;1;30
"SO54547";244;12895;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54548";289;741;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54548";283;741;"2013-03-17";"2013-03-24";"2013-03-29";30;1;30
"SO54548";259;741;"2013-03-17";"2013-03-24";"2013-03-29";2;1;2
"SO54549";283;7555;"2013-03-17";"2013-03-24";"2013-03-29";30;1;30
"SO54549";289;7555;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54549";246;7555;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54550";283;186;"2013-03-17";"2013-03-24";"2013-03-29";30;1;30
"SO54550";289;186;"2013-03-17";"2013-03-24";"2013-03-29";5;1;5
"SO54550";246;186;"2013-03-17";"2013-03-24";"2013-03-29";35;1;35
"SO54551";104;12252;"2013-03-17";"2013-03-24";"2013-03-29";10;1;10
